3865-T,ìåèÿ1ïî,ñkâzãIèB,ì˙ë´
ì˙ït,éníl,çÇíl,à¿íl,èIíl,èoóàçÇ,îÑîÉë„ã‡
2015-06-18,685,690,669,669,630400,425681600
2015-06-17,680,687,675,680,650800,442849200
2015-06-16,681,704,681,690,1140600,790787900
2015-06-15,683,683,672,679,579200,392392800
2015-06-12,706,707,684,688,1502300,1050261800
2015-06-11,691,705,686,705,826600,578935900
2015-06-10,691,695,681,687,623300,429000000
2015-06-09,700,703,686,688,854800,591775100
2015-06-08,704,705,685,700,796900,555230100
2015-06-05,688,705,685,701,699400,487462800
2015-06-04,694,695,681,692,798100,550586400
2015-06-03,686,692,678,691,813600,559678700
2015-06-02,683,692,676,689,850400,583545700
2015-06-01,673,682,665,682,976000,658719400
2015-05-29,658,719,658,683,1716900,1172341100
2015-05-28,665,666,648,651,488600,319155800
2015-05-27,650,660,646,659,556000,364518300
2015-05-26,647,660,645,656,701800,459557100
2015-05-25,635,648,635,647,565600,364281700
2015-05-22,631,646,631,635,605000,386026900
2015-05-21,629,636,624,633,424100,268081800
2015-05-20,634,636,627,628,609800,384226600
2015-05-19,623,638,623,624,717200,450224500
2015-05-18,609,626,609,625,522300,324771400
2015-05-15,623,627,609,611,738700,454493200
2015-05-14,624,630,618,625,853000,532790900
2015-05-13,643,643,617,620,1527900,955917500
2015-05-12,646,653,644,652,529700,344283800
2015-05-11,648,661,648,654,537300,351577100
2015-05-08,627,650,626,642,889500,566655500
2015-05-07,651,655,621,631,1510300,958283700
2015-05-01,645,653,642,650,890400,576764600
2015-04-30,668,668,649,652,846400,554080600
2015-04-28,667,677,663,667,818300,547120200
2015-04-27,657,665,651,657,530500,348841100
2015-04-24,661,664,650,660,550600,363327200
2015-04-23,654,663,653,661,813800,536778300
2015-04-22,650,657,641,655,640500,416963900
2015-04-21,646,658,644,652,750700,487792700
2015-04-20,652,653,637,647,806300,520523200
2015-04-17,637,654,633,651,856600,554382100
2015-04-16,637,648,632,646,1005000,645612700
2015-04-15,643,644,628,632,782100,495024200
2015-04-14,620,643,619,640,769600,490388300
2015-04-13,624,628,620,626,780900,488293200
2015-04-10,620,627,613,616,1129200,698078100
2015-04-09,627,628,617,621,881400,548235600
2015-04-08,620,631,620,624,1019600,638856500
2015-04-07,605,627,603,617,1554100,958900300
2015-04-06,595,603,591,599,713700,426767500
2015-04-03,595,610,587,596,1598900,954235300
2015-04-02,570,594,570,591,2309900,1355158900
2015-04-01,542,571,540,564,2804000,1576734100
2015-03-31,544,551,538,538,1433900,778017100
2015-03-30,548,554,535,547,1372600,749321500
2015-03-27,554,557,541,547,1592300,873697700
2015-03-26,571,571,557,561,1002900,563480600
2015-03-25,561,577,559,574,1192800,680855100
2015-03-24,566,566,556,558,936400,523780000
2015-03-23,560,565,558,561,787700,441871900
2015-03-20,568,571,559,559,996600,559545000
2015-03-19,557,570,556,566,1352500,762997600
2015-03-18,558,562,557,561,579100,324018500
2015-03-17,566,576,558,560,1259300,708126700
2015-03-16,561,569,558,565,1015900,574213200
2015-03-13,567,569,556,561,2689900,1519556400
2015-03-12,568,573,562,566,755800,428402900
2015-03-11,573,576,562,564,930900,528999800
2015-03-10,595,597,567,571,1533800,886345200
2015-03-09,573,578,568,568,669800,382183000
2015-03-06,574,579,570,573,703500,403919100
2015-03-05,578,581,572,575,793700,457159300
2015-03-04,571,577,566,573,716800,410034900
2015-03-03,577,583,571,574,907700,523221900
2015-03-02,593,600,576,577,1116200,650391000
2015-02-27,605,609,591,595,527600,314539200
2015-02-26,594,606,590,603,691800,415421900
2015-02-25,587,595,585,592,616100,364594800
2015-02-24,582,589,578,586,923000,539910700
2015-02-23,573,580,567,576,784300,450313600
2015-02-20,565,573,564,573,874000,497593600
2015-02-19,563,571,558,560,596500,335572600
2015-02-18,551,564,551,559,660600,369565700
2015-02-17,549,562,549,555,499100,277773700
2015-02-16,550,563,546,554,719900,401864700
2015-02-13,505,552,505,544,1301900,686282700
2015-02-12,548,560,541,545,843800,463415900
2015-02-10,555,560,547,553,461300,255048800
2015-02-09,549,563,549,553,500800,277936500
2015-02-06,550,552,539,547,575900,314342700
2015-02-05,535,548,535,545,475400,258494600
2015-02-04,541,546,535,538,1034700,557974500
2015-02-03,543,550,535,542,782100,424372600
2015-02-02,551,556,539,540,761000,414573800
2015-01-30,545,563,544,558,736300,410339400
2015-01-29,532,550,531,538,649200,351124100
2015-01-28,520,540,517,537,597900,320266300
2015-01-27,532,535,526,528,799600,424173400
2015-01-26,512,533,509,531,1678000,882941200
2015-01-23,502,511,500,508,512100,259635800
2015-01-22,495,500,491,497,615300,306007100
2015-01-21,496,503,492,497,536800,266776600
2015-01-20,485,501,483,499,437200,217283700
2015-01-19,483,491,480,486,462800,224898700
2015-01-16,484,489,474,479,991600,474561700
2015-01-15,481,494,479,492,971400,473521700
2015-01-14,484,490,479,481,640500,310050100
2015-01-13,484,491,471,491,932100,451726300
2015-01-09,505,506,489,492,1113100,555883900
2015-01-08,498,505,480,498,962900,477670800
2015-01-07,501,507,493,497,974700,485852200
2015-01-06,509,510,498,500,788200,395741700
2015-01-05,509,524,507,518,629700,325203400
2014-12-30,517,521,512,514,653400,337294100
2014-12-29,525,526,507,519,653600,337097300
2014-12-26,524,528,516,520,450700,234527900
2014-12-25,523,524,518,522,393800,205230000
2014-12-24,526,530,523,528,604000,318518100
2014-12-22,514,519,505,518,540800,278274400
2014-12-19,516,519,508,516,669500,344270400
2014-12-18,495,505,494,503,712300,357283700
2014-12-17,470,488,469,488,889700,429744800
2014-12-16,472,479,463,471,1282500,601222000
2014-12-15,490,497,484,486,660600,321858700
2014-12-12,503,508,497,498,2067200,1038831600
2014-12-11,496,505,491,499,489500,243992500
2014-12-10,508,510,500,502,558100,281538100
2014-12-09,513,524,509,510,605200,311282200
2014-12-08,502,517,501,516,824400,422208900
2014-12-05,482,501,482,500,689200,342143200
2014-12-04,472,489,472,489,929700,449550600
2014-12-03,482,486,466,467,2181400,1028162400
2014-12-02,486,495,486,493,608500,298891300
2014-12-01,486,493,484,492,558800,274171400
2014-11-28,495,495,487,488,455400,223051500
2014-11-27,494,499,489,492,605500,298396800
2014-11-26,489,502,487,499,709000,352571100
2014-11-25,498,498,494,496,848100,420396100
2014-11-21,485,500,484,498,733400,361415900
2014-11-20,491,491,485,487,604300,295013400
2014-11-19,491,502,491,491,883600,437348600
2014-11-18,484,492,482,492,1149800,560478500
2014-11-17,490,494,480,484,1320000,640070600
2014-11-14,488,490,474,490,1877200,914594600
2014-11-13,472,482,468,480,692100,330458500
2014-11-12,471,480,471,472,1130400,536161900
2014-11-11,463,470,459,469,647000,301764800
2014-11-10,457,464,455,463,475800,219288400
2014-11-07,457,463,456,460,798200,366789000
2014-11-06,467,468,456,457,1021600,470937200
2014-11-05,461,471,458,469,1305900,606555600
2014-11-04,473,474,463,466,2976200,1393884200
2014-10-31,443,462,439,458,1357500,613747800
2014-10-30,440,445,436,440,1587200,700081200
2014-10-29,427,439,426,438,873300,380441400
2014-10-28,422,427,420,426,717500,303748600
2014-10-27,418,427,417,423,572400,241783700
2014-10-24,418,420,414,416,873400,363989100
2014-10-23,412,414,408,410,745000,305742600
2014-10-22,407,416,407,416,845800,349228700
2014-10-21,423,423,403,403,849800,347677800
2014-10-20,414,424,411,424,1035500,434267100
2014-10-17,405,409,399,402,1388000,559668200
2014-10-16,407,408,399,400,1023400,412099400
2014-10-15,414,419,411,415,688400,285027600
2014-10-14,409,419,409,412,1047300,433755700
2014-10-10,418,423,415,417,1373200,574661200
2014-10-09,425,426,422,423,570000,241387100
2014-10-08,432,433,422,426,963300,411413400
2014-10-07,437,438,431,432,652500,282979300
2014-10-06,435,437,433,436,698900,304114300
2014-10-03,439,440,428,434,941700,407496800
2014-10-02,443,447,440,441,984000,435576400
2014-10-01,447,451,444,447,528300,236374900
2014-09-30,457,457,449,450,617700,279079600
2014-09-29,466,467,458,459,670800,308970800
2014-09-26,459,466,459,464,836200,387586600
2014-09-25,474,474,468,470,592500,278724600
